№ п/п	Проверка
1	Оформление заказа
1.1	Полоса суммы заказа
1.1.1	Актуальность мин. суммы заказа для выбранного типа доставки
1.1.2	Актуальность суммы беспл. доставки для выбранного типа доставки
1.1.3	Верность подсчета строки "До мин. суммы заказа осталось"
1.1.4	Верность подсчета строки "До бесп. доставки осталось"
1.1.5	Наличие строки "До бесп. доставки осталось/До мин. суммы осталось"
1.1.6	Соответствие визуального оформления полосы сумме заказа 
1.2	Корзина товаров
1.2.1	Подсчет количества товаров в наличии/не в наличии
1.2.2	Соответствие товаров в корзине выбранным товарам
1.2.3	Отображение фото товара
1.2.4	Отображение цены и скидки
1.2.5	Отображение количества товара
1.2.6	Изменение количества товара
1.2.7	Изменение количества упаковок товара
1.2.8	Переход на страницу товара
1.2.9	Удалить товар из корзины
1.2.10	Очистить корзину
1.2.11	Проверить наличие товаров при изменении времени/места доставки
1.2.12	Заменить товар не в наличии
1.2.13	Актуальность предложенного варианта замены
1.2.14	Удалить товар не в наличии
1.2.15	Оставить товар не в наличии в заказе
1.3	Оформление заказа
1.3.1	Изменить адрес доставки в поле
1.3.2	Изменить адрес доставки на кнопку
1.3.3	Отображение выбранного адреса доставки в поле
1.3.4	Изменить дату доставки
1.3.5	Изменить времения доставки
1.3.6	Проверить выдерживание мин. возможного времени от заказа до предлагаемых вариантов времени доставки
1.3.7	Возможность выбора ночной доставки
1.3.8	Проверить поле "Телефон" на ввод
1.3.9	Проверить ввод и приемку кода в поле "Телефон"
1.3.10	Проверить отправку кода на телефон
1.3.11	Проверить поле "Имя"
1.3.12	Проверить поле "E-mаil"
1.3.13	Проверить поле "Промокод"
1.3.14	Проверить поле "Карта клуба"
1.3.15	Появление баннера с подарками (промокодом)
1.3.16	Копировать промокод из баннера
1.3.17	Изменить способ оплаты
1.3.18	Проверить чекбокс "Оставить заказ у двери"
1.3.19	Проверить актуальность информации в окне "Информация о заказе"
1.3.20	Проверить чекбокс "Рекламных сообщений"
1.3.21	Гиперссылка "Условия продажи"
1.3.22	Гиперссылка "Политика конфиденциальности"
1.3.23	Гиперссылка "Персональные данные"
1.3.24	Актуальность суммы на кнопке "Оформить заказ"
1.4	Оформить заказ
