№ п/п	Проверка
1	Страница товара
1.1	Фото/видео
1.1.1	Отображение
1.1.2	Увеличение
1.1.3	Перелистывание
1.2	Отзывы
1.2.1	Отображение звезд
1.2.2	Отображение количества отзывов
1.2.3	Гиперссылка на раздел с отзывами
1.3	Избранное
1.3.1	Добавить
1.3.2	Удалить
1.4	Поделиться
1.4.1	Facebook
1.4.2	Twitter
1.4.3	Вконтакте
1.4.4	Одноклассники
1.5	Купить
1.5.1	Добавить в корзину
1.5.2	Выбрать способ доставки
1.5.3	Увеличить/уменьшить количество
1.6	Другие вариаты этого товара
1.6.1	Выбрать из выпадающего списка
1.7	Количество (упаковками)
1.7.1	Изменение количества и цены
1.8	Ссылка на товары этого бренда
1.8.1	Гиперссылка на производителя
2	Похожие товары
2.1	Лента товаров
2.1.1	Актуальность товаров
2.1.2	Перелистывание ленты
2.2	Купить
2.2.1	Добавить в корзину
2.2.2	Выбрать способ доставки
2.2.3	Увеличить/уменьшить количество
2.3	Открыть
2.3.1	Перейти на страницу товара
3	Отзывы
3.1	Оставить отзыв
3.2	Оценить отзыв
3.3	Отображение имени
3.4	Отображение даты
3.5	Отображение отзыва
3.6	Отображение звезд
3.7	Отредактировать отзыв
3.8	Удалить отзыв
3.9	Добавить фото к отзыву
4	Вы смотрели
4.1	Лента товаров
4.1.1	Актуальность товаров
4.1.2	Перелистывание ленты
4.2	Купить
4.2.1	Добавить в корзину
4.2.2	Выбрать способ доставки
4.2.3	Увеличить/уменьшить количество
4.3	Открыть
4.3.1	Перейти на страницу товара
5	Выгодное предложение
5.1	Лента товаров
5.1.1	Перелистывание ленты
5.2	Быстрый просмотр
5.2.1	Открыть мини окно товара
5.3	Карточка товара
5.3.1	Отображение фото
5.3.2	Отображение рейтинга
5.3.3	Отображение наименования
5.3.4	Отображение цены
5.4	Купить
5.4.1	Добавить в корзину
5.4.2	Выбрать способ доставки
5.4.3	Увеличить/уменьшить количество
5.5	Открыть
5.5.1	Перейти на страницу товара
5.6	Избранное
5.6.1	Добавить
5.6.2	Удалить
6	Быстрый просмотр товара
6.1	Фото/видео
6.1.1	Отображение
6.1.2	Увеличение
6.1.3	Перелистывание
6.2	Кнопка больше информации о товаре
6.2.1	Перейти на основную страницу товара
6.3	Отзывы
6.3.1	Отображение звезд
6.3.2	Отображение количества отзывов
6.3.3	Гиперссылка на раздел с отзывами
6.4	Избранное
6.4.1	Добавить
6.4.2	Удалить
6.5	Поделиться
6.5.1	Facebook
6.5.2	Twitter
6.5.3	Вконтакте
6.5.4	Одноклассники
6.6	Купить
6.6.1	Добавить в корзину
6.6.2	Выбрать способ доставки
6.6.2	Увеличить/уменьшить количество
7	Описание товаров
7.1	Гиперссылки на товары с такой же характеристикой
7.2	Развернуть/свернуть длинный текст
7.3	Проверить орфографию
